filename,face_identity_score,clip_score,brisque_score,time,
WOMEN-Tees_Tanks-id_00000412-03_4_full,0.457943568,0.230213284,24.83288574,190.5249669,
WOMEN-Rompers_Jumpsuits-id_00003272-01_2_side,0.426679427,0.265758514,13.02728271,36.64949348,
WOMEN-Pants-id_00007393-01_1_front,0.559562022,0.259745806,24.62524414,35.83614052,
WOMEN-Tees_Tanks-id_00004222-04_7_additional,0.659615004,0.276309431,22.0871582,35.51370248,
WOMEN-Sweatshirts_Hoodies-id_00001326-02_7_additional,0.664796317,0.212404937,24.90930176,35.40119152,0.0301
WOMEN-Sweaters-id_00004141-05_1_front,0.469491297,0.246050894,32.27752686,36.12095911,
WOMEN-Blouses_Shirts-id_00000721-03_4_full,0.533587867,0.258934975,18.28540039,35.48354437,
WOMEN-Tees_Tanks-id_00003950-04_7_additional,0.607220852,0.331991673,22.8347168,35.3543075,
WOMEN-Blouses_Shirts-id_00007547-02_1_front,0.639792943,0.259850472,12.73016357,35.38005065,
WOMEN-Tees_Tanks-id_00004571-01_7_additional,0.675264144,0.276792347,15.4498291,35.35862646,
WOMEN-Dresses-id_00003705-03_1_front,0.590079808,0.273436964,20.61547852,35.48245038,
WOMEN-Dresses-id_00004848-03_7_additional,0.5252473,0.293345094,31.11724854,35.64999946,
WOMEN-Rompers_Jumpsuits-id_00000398-01_4_full,0.581463748,0.278429568,29.76702881,35.98960271,
WOMEN-Dresses-id_00002797-05_1_front,0.762682343,0.241582766,13.16473389,36.27599196,
WOMEN-Tees_Tanks-id_00006859-05_7_additional,0.592570627,0.251088321,22.72039795,41.74873408,
WOMEN-Sweaters-id_00000862-02_4_full,0.486422265,0.276211798,15.70709229,35.57327411,
WOMEN-Tees_Tanks-id_00006687-04_4_full,0.603296781,0.221984506,41.46228027,35.45995961,
WOMEN-Blouses_Shirts-id_00004255-04_4_full,0.512709522,0.225576878,31.05505371,35.56640313,
WOMEN-Leggings-id_00001907-01_1_front,0.566293353,0.283105433,7.59954834,35.50450839,
WOMEN-Blouses_Shirts-id_00007011-04_7_additional,0.617338801,0.314610898,28.78082275,35.50819115,
WOMEN-Dresses-id_00007101-03_1_front,0.611024731,0.25932464,14.70056152,36.16704772,
WOMEN-Blouses_Shirts-id_00007503-02_4_full,0.608316445,0.31098187,11.95965576,35.51478445,
WOMEN-Sweaters-id_00007056-02_2_side,0.507747495,0.255158424,18.31182861,37.54526772,
MEN-Shorts-id_00000989-01_1_front,0.757948184,0.321261227,34.65405273,36.93794356,
WOMEN-Pants-id_00004070-07_1_front,0.561064357,0.238857776,21.48303223,35.68095333,
WOMEN-Shorts-id_00003810-01_4_full,0.60855844,0.249658734,12.46453857,35.57394455,
WOMEN-Blouses_Shirts-id_00003927-06_4_full,0.432863706,0.246963531,28.23022461,36.95790591,
WOMEN-Dresses-id_00007920-02_4_full,0.711070055,0.261289209,11.46679688,35.9843854,
WOMEN-Sweaters-id_00003609-02_4_full,0.53867414,0.21947366,33.14764404,36.13790986,
WOMEN-Graphic_Tees-id_00002973-01_4_full,0.525284046,0.249537319,25.31915283,35.69136362,
WOMEN-Tees_Tanks-id_00001113-03_4_full,0.496329212,0.290002108,-7.34588623,36.30724098,
WOMEN-Sweaters-id_00004780-02_4_full,0.487572664,0.297435999,18.37762451,36.1795081,
WOMEN-Blouses_Shirts-id_00006858-02_4_full,0.683705831,0.263821661,14.53240967,35.54075157,
WOMEN-Rompers_Jumpsuits-id_00004519-02_1_front,0.60820272,0.255239844,23.05517578,35.94809584,
MEN-Shorts-id_00002110-17_7_additional,0.446790481,0.298481375,18.58496094,35.55128719,
WOMEN-Dresses-id_00007043-10_4_full,0.456139976,0.281819463,28.41174316,48.62770559,
WOMEN-Dresses-id_00001340-01_4_full,0.591876382,0.295634896,24.24145508,45.43781834,
WOMEN-Dresses-id_00000585-01_4_full,0.520793641,0.247368991,14.90893555,119.9908917,
MEN-Tees_Tanks-id_00005349-02_4_full,0.605093056,0.266674489,34.64306641,36.83816214,
WOMEN-Shorts-id_00006552-01_1_front,0.607734764,0.312718749,15.8828125,36.478385,
MEN-Sweatshirts_Hoodies-id_00002315-06_1_front,0.744979346,0.242001355,17.00006104,38.533192,
